sentence_id,label,sentence
0,0,Clinicians  attention lacking in discussions of end of life care
1,0,"The blood test could mean that 98% of invasive procedures could be avoided, say the authors."
2,0,New research reveals that the greatest demand for liver transplantation due to hepatitis C (HCV)-related liver disease occurs among Americans born between 1941 and 1960.
3,0,"Professor Cyrus Cooper, chair of the Committee of Scientific Advisors of the International Osteoporosis Foundation (IOF) and director of the MRC Lifecourse Epidemiology Unit, University of Southampton in the UK stated, ""Studies from the UK, USA and Australia have reported that 45% or more of today's hip fracture patients have a prior fracture history."
4,0,"In exome sequencing, researchers selectively and simultaneously target and map all of the portions of the genome where exons reside."
5,0,UNC study identifies pockets of high cervical cancer rates in North Carolina
6,0,Large study finds CT scans are frequently unnecessary after head injury in children
7,0,"Clinicians consistently fall short in discussing end-of-life care with patients with chronic obstructive pulmonary disorder (COPD), according to a study completed by researchers in Washington."
8,0,How much will this cost me?
9,0,A research team from Northwestern and NorthShore University HealthSystem (NorthShore) conducted an ovarian cancer clinical study at NorthShore.
10,0,Selective strategy  recommended for CT scans in emergency departments
11,0,Sequencing works in clinical setting to help    finally    get a diagnosis
12,0,The study is the first of its kind.
13,0,Previous studies in Japan suggested smoking reduced life expectancy by only a few years compared with about ten years in Britain and the USA.
14,0,"Children continue to account for a disproportionate percentage of morbidity and mortality from ATV-related accidents - up 240 percent since 1997, according to a Journal of Pediatric Orthopaedics report published by pediatric orthopaedic surgeons at Le Bonheur Children's Hospital."
15,0,"Of 180 patients in this study in whom a reference committee later identified coronary heart disease (CHD), 37% had originally been misdiagnosed by their family doctors as not having CHD (""false negative"")."
16,0,This release is also available in Chinese on EurekAlert!
17,0,Concern over  excessive  doses of thyroid drugs for older patients
18,0,"Researchers from the School of Public Health analyzed the medication use of more than 2,000 Canadian children through the 2007 to 2009 Canadian Health Measures Survey."
19,0,Americans and Canadians get different drug information online  UBC study
20,0,Yet true traumatic brain injury is uncommon.
21,0,Concerns about MRSA for expectant mothers may be unfounded
22,0,At least 1 in 5 were infected in flu pandemic  international study suggests
23,0,Sharp rise in children admitted to hospital with throat infections since 1999
24,0,"Previous research has indicated that long working hours may increase the risk of birth defects, premature birth, stillbirth and low birthweight."
25,0,Caffeine consumption has long been associated with decreased risk of liver disease and reduced fibrosis in patients with chronic liver disease.
26,0,"An invasive heart test used routinely to measure heart function is being dramatically overused, especially among patients who recently underwent similar, more effective tests, according to a new study from the Stanford University School of Medicine."
27,0,Previous research has linked certain occupations with a higher risk of birth defects in offspring.
28,0,"Parabens are commonly used as preservatives in cosmetics, food products and pharmaceuticals."
29,0,These findings are published in the Journal of Alzheimer's Disease.
30,0,"Lymph node dissection,  the current standard surgical treatment for localized non-small cell lung cancers, may be unnecessary in certain screen-detected early stage cases , according to a study published in the March issue of the Journal of Thoracic Oncology (JTO), the official journal of the International Association for the Study of Lung Cancer."
31,0,The U.S. Food and Drug Administration approved PCV13 for use beginning in 2010 after a series of trials.
32,0,Study finds number of battery related emergency department visits by children more than doubles
33,0,Highlights Many patients with a common kidney disease called IgA nephropathy who had normal kidney function and only minor urinary abnormalities at the time of diagnosis experienced remission without special treatments.
34,0,Clarity begins at exome
35,0,"Use of risk assessment instruments to predict violence and antisocial behaviour in 73 samples involving 24,827 people: systematic review and meta-analysis Tools designed to predict an individual's risk of repeat offending are not sufficient on their own to inform sentencing and release or discharge decisions, concludes a study published on bmj.com today."
36,0,"With the deficiencies in knowledge of tuberculosis--as well as in the practices, programs and strategies used to combat the disease and co-infection with human immunodeficiency virus (HIV)--the spread of multidrug-resistant (MDR) tuberculosis poses a major problem for the health care community."
37,0,Incidence rates of hepatocellular carcinoma (HCC) and intrahepatic cholangiocarcinoma (ICC) have increased in the U.S.
38,0,"However, the authors stress that the risk may still be overestimated, and they call for longer term monitoring of the cohort of children and adolescents exposed to Pandemrix to evaluate the exact level of risk."
39,0,"Smokers who have tried to quit and failed may be tempted to just give up, particularly if they hear statistics like the fact that most quit attempts will be unsuccessful."
